"colegio","sexo","edad","residencia","tam.fam","estado.padres","edu.madre","edu.padre","trab.madre","trab.padre","motivo","apoderado","tpo.viaje","estudio","reprobaciones","apoyo.alumno","apoyo.familia","particular","actividades","preescolar","superior","internet","relacion","relacion.familiar","tiempo.libre","salidas","alcohol.s","alcohol.f","salud","inasistencias","final"
"GP","M",16,"rural",">3","juntos","basica","basica","ninguno","otro","curriculo","madre","31-60","<2",0,"no","no","no","no","no","si","no","no","muy_buena","poco","poco","nada","muy_poco","buena",4,"A"
"GP","M",16,"urbana",">3","juntos","basica","basica","otro","otro","curriculo","padre","<15","2-5",0,"no","no","no","no","si","no","si","no","muy_buena","suficiente","mucho","muy_poco","bastante","muy_buena",0,"R"
"GP","M",17,"urbana","<=3","juntos","superior","media","docencia","otro","curriculo","madre","15-30","2-5",0,"no","no","no","si","si","si","si","no","muy_buena","bastante","bastante","bastante","bastante","muy_buena",0,"R"
"GP","M",16,"rural",">3","juntos","superior","basica","docencia","servicios","otro","madre","<15","<2",0,"no","si","no","si","si","si","si","si","muy_buena","suficiente","suficiente","poco","bastante","buena",8,"R"
"GP","F",16,"urbana","<=3","juntos","superior","superior","docencia","docencia","reputacion","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","mucho","poco","nada","muy_poco","buena",0,"R"
"GP","M",18,"urbana",">3","juntos","superior","media","docencia","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","no","si","si","no","muy_buena","suficiente","poco","nada","nada","buena",2,"R"
"GP","M",18,"urbana",">3","juntos","primaria","basica","ninguno","otro","distancia","otro","15-30","<2",0,"no","no","no","no","no","no","si","no","buena","bastante","bastante","muy_poco","bastante","muy_buena",10,"R"
"GP","M",18,"urbana","<=3","juntos","superior","superior","otro","otro","reputacion","padre","<15","<2",0,"no","si","no","no","si","si","si","no","muy_buena","poco","mucho","poco","bastante","excelente",2,"R"
"GP","F",17,"urbana",">3","juntos","media","media","ninguno","otro","curriculo","madre","<15","<2",0,"no","si","si","si","si","si","si","no","muy_buena","poco","mucho","muy_poco","mucho","excelente",2,"R"
"GP","F",19,"urbana",">3","juntos","superior","superior","docencia","otro","distancia","otro","<15","<2",1,"no","si","no","no","si","si","si","si","buena","poco","mucho","bastante","bastante","excelente",5,"R"
"GP","M",19,"urbana",">3","juntos","basica","primaria","otro","otro","reputacion","madre","<15","<2",0,"no","no","no","no","si","si","si","no","excelente","suficiente","bastante","nada","bastante","muy_buena",10,"R"
"MS","F",16,"urbana",">3","juntos","primaria","media","ninguno","otro","otro","padre","15-30","<2",0,"no","si","no","no","si","no","si","si","muy_buena","suficiente","suficiente","nada","poco","excelente",11,"R"
"MS","M",16,"rural","<=3","separados","superior","superior","ninguno","otro","distancia","madre","<15","2-5",0,"no","si","no","no","si","si","no","no","excelente","suficiente","poco","nada","poco","mala",5,"R"
"MS","M",16,"urbana",">3","separados","primaria","basica","otro","otro","otro","madre","<15","5-10",0,"si","no","no","no","si","si","si","no","muy_buena","bastante","suficiente","nada","nada","excelente",0,"R"
"MS","F",16,"urbana","<=3","separados","basica","basica","ninguno","otro","reputacion","madre","15-30",">10",0,"no","no","no","si","no","no","no","si","muy_mala","poco","muy_poco","nada","nada","muy_mala",4,"R"
"MS","M",16,"rural",">3","juntos","media","superior","otro","salud","otro","madre","31-60","2-5",0,"no","no","no","no","no","si","no","no","buena","bastante","mucho","nada","muy_poco","excelente",4,"R"
"MS","M",15,"urbana","<=3","juntos","media","media","ninguno","ninguno","reputacion","padre","<15","2-5",0,"no","si","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","nada","excelente",0,"R"
"MS","M",16,"rural",">3","juntos","primaria","basica","otro","otro","curriculo","padre","15-30","2-5",0,"no","no","no","no","si","si","no","no","muy_buena","suficiente","suficiente","nada","nada","excelente",0,"R"
"MS","M",17,"rural","<=3","juntos","primaria","basica","ninguno","servicios","reputacion","madre","<15","<2",0,"no","si","no","si","si","si","si","no","excelente","mucho","mucho","mucho","mucho","buena",4,"R"
"MS","F",16,"urbana","<=3","juntos","superior","superior","servicios","servicios","otro","padre","15-30","<2",0,"no","si","no","no","si","si","no","no","excelente","muy_poco","suficiente","nada","muy_poco","excelente",1,"R"
"MS","F",17,"rural",">3","juntos","basica","basica","otro","otro","otro","madre","15-30","2-5",0,"si","no","si","no","si","si","no","no","excelente","muy_poco","suficiente","nada","nada","excelente",0,"R"
"MS","F",17,"rural",">3","juntos","ninguna","ninguna","ninguno","otro","curriculo","madre","15-30","<2",0,"no","si","no","no","si","si","si","no","muy_buena","bastante","suficiente","nada","nada","excelente",0,"R"
"GP","M",16,"urbana","<=3","juntos","basica","basica","otro","otro","distancia","madre","<15","2-5",0,"no","no","no","no","si","si","si","no","muy_buena","bastante","bastante","nada","nada","buena",0,"A"
"GP","M",16,"urbana","<=3","separados","media","superior","servicios","otro","distancia","madre","<15","2-5",0,"si","si","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","nada","excelente",4,"R"
"GP","M",16,"urbana",">3","juntos","superior","superior","docencia","docencia","distancia","madre","<15","2-5",0,"no","si","si","si","si","si","si","si","muy_buena","bastante","mucho","mucho","mucho","excelente",16,"R"
"GP","F",16,"urbana","<=3","juntos","basica","basica","otro","otro","distancia","madre","15-30","2-5",1,"no","si","no","si","no","si","si","si","buena","suficiente","suficiente","nada","muy_poco","buena",25,"R"
"GP","M",15,"urbana",">3","juntos","basica","basica","servicios","servicios","curriculo","padre","<15","<2",0,"si","si","no","no","si","si","si","no","excelente","bastante","muy_poco","nada","nada","muy_mala",0,"R"
"GP","F",16,"urbana",">3","juntos","basica","basica","otro","otro","reputacion","madre","<15",">10",0,"no","no","si","no","si","si","si","si","excelente","poco","suficiente","nada","poco","buena",0,"R"
"GP","F",15,"urbana","<=3","separados","media","superior","otro","otro","distancia","madre","<15","2-5",0,"si","no","no","si","si","si","si","si","excelente","suficiente","poco","nada","nada","muy_mala",0,"R"
"GP","F",16,"urbana",">3","separados","media","superior","servicios","otro","curriculo","padre","<15","<2",0,"no","no","no","no","si","si","si","no","buena","poco","muy_poco","nada","bastante","excelente",16,"A"
"GP","F",15,"urbana",">3","juntos","superior","superior","docencia","servicios","curriculo","madre","<15","5-10",0,"no","si","si","si","si","si","si","no","muy_buena","poco","poco","nada","nada","excelente",2,"R"
"GP","F",15,"urbana",">3","juntos","primaria","primaria","otro","servicios","curriculo","padre","<15","2-5",0,"no","si","si","no","si","si","si","no","muy_buena","bastante","poco","nada","muy_poco","excelente",0,"R"
"GP","M",19,"urbana","<=3","separados","superior","media","servicios","ninguno","reputacion","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","suficiente","muy_poco","nada","nada","muy_mala",12,"R"
"GP","M",19,"urbana",">3","juntos","primaria","basica","otro","servicios","curriculo","otro","<15","2-5",1,"no","no","no","no","no","si","si","no","muy_buena","mucho","poco","muy_poco","muy_poco","muy_buena",3,"A"
"GP","F",19,"rural",">3","juntos","basica","media","otro","otro","reputacion","otro","<15","5-10",1,"no","no","no","no","si","si","si","si","muy_buena","muy_poco","poco","nada","nada","buena",40,"A"
"MS","M",17,"rural",">3","juntos","superior","media","servicios","otro","distancia","madre","15-30","2-5",0,"no","si","si","si","no","si","si","si","muy_buena","mucho","mucho","nada","poco","mala",4,"A"
"MS","F",17,"urbana",">3","juntos","basica","basica","otro","ninguno","distancia","madre","<15","5-10",0,"no","no","no","si","si","si","no","si","buena","bastante","suficiente","nada","nada","buena",8,"A"
"GP","M",15,"urbana",">3","juntos","superior","superior","salud","salud","otro","padre","<15","<2",0,"no","si","si","no","si","si","si","no","excelente","bastante","poco","nada","nada","excelente",0,"R"
"GP","M",15,"urbana",">3","juntos","basica","basica","otro","otro","distancia","madre","<15","<2",0,"no","si","no","no","si","si","si","no","muy_buena","poco","poco","nada","muy_poco","excelente",8,"R"
"GP","M",16,"urbana",">3","juntos","superior","superior","docencia","docencia","distancia","madre","<15","2-5",0,"no","si","si","si","si","si","si","si","muy_buena","bastante","mucho","mucho","mucho","excelente",4,"A"
"GP","M",16,"urbana",">3","juntos","media","basica","otro","otro","distancia","madre","<15","<2",0,"no","si","no","no","no","si","si","no","excelente","bastante","suficiente","nada","nada","excelente",4,"A"
"GP","F",15,"urbana",">3","juntos","superior","superior","servicios","servicios","curriculo","madre","<15","<2",0,"si","si","no","no","si","si","si","no","buena","suficiente","bastante","muy_poco","poco","excelente",0,"A"
"GP","M",15,"urbana",">3","separados","superior","superior","otro","servicios","reputacion","madre","<15",">10",0,"no","si","no","si","no","si","si","si","muy_mala","suficiente","suficiente","mucho","mucho","buena",0,"R"
"GP","F",16,"urbana",">3","juntos","basica","primaria","otro","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","no","si","muy_buena","suficiente","mucho","nada","nada","excelente",0,"A"
"GP","M",15,"urbana",">3","juntos","superior","superior","servicios","otro","curriculo","madre","<15","<2",0,"no","si","si","si","no","si","si","no","excelente","suficiente","suficiente","nada","nada","excelente",2,"A"
"GP","M",18,"urbana","<=3","juntos","media","primaria","servicios","servicios","curriculo","madre","15-30","<2",0,"no","no","no","si","si","si","si","si","buena","suficiente","bastante","bastante","mucho","muy_buena",2,"R"
"GP","F",15,"urbana",">3","juntos","primaria","primaria","otro","servicios","curriculo","padre","<15","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","bastante","poco","nada","muy_poco","excelente",0,"A"
"GP","F",17,"urbana",">3","juntos","primaria","primaria","ninguno","servicios","curriculo","madre","<15","2-5",0,"no","no","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","nada","buena",0,"A"
"GP","M",16,"urbana",">3","juntos","basica","media","otro","otro","distancia","padre","15-30","<2",0,"no","no","no","no","si","si","si","no","excelente","suficiente","suficiente","nada","nada","buena",0,"A"
"GP","M",16,"rural","<=3","juntos","media","media","docencia","otro","distancia","padre","31-60","<2",0,"no","si","no","si","si","si","si","no","buena","suficiente","bastante","poco","mucho","buena",16,"R"
"GP","F",16,"urbana",">3","juntos","basica","media","otro","otro","reputacion","madre","<15","2-5",0,"si","si","no","si","si","si","no","no","muy_buena","bastante","suficiente","nada","poco","muy_buena",4,"R"
"GP","F",17,"rural",">3","juntos","superior","media","docencia","otro","reputacion","madre","15-30","5-10",0,"no","si","no","si","si","si","si","si","muy_buena","bastante","poco","nada","nada","muy_buena",0,"R"
"GP","M",16,"rural",">3","juntos","basica","primaria","otro","otro","curriculo","madre","15-30","<2",0,"no","no","no","si","no","si","no","no","buena","suficiente","poco","nada","poco","buena",2,"A"
"GP","F",20,"rural",">3","juntos","basica","primaria","otro","otro","curriculo","otro","15-30","2-5",0,"no","si","si","si","si","no","si","si","muy_mala","poco","suficiente","nada","muy_poco","mala",8,"R"
"GP","M",18,"rural",">3","juntos","media","basica","otro","otro","curriculo","madre","<15","5-10",0,"no","no","no","si","no","si","no","no","excelente","suficiente","poco","nada","nada","buena",2,"R"
"GP","F",18,"rural",">3","juntos","superior","superior","docencia","otro","reputacion","madre","15-30","2-5",0,"no","no","no","si","si","si","si","no","muy_buena","suficiente","bastante","muy_poco","muy_poco","muy_buena",8,"R"
"GP","F",19,"urbana",">3","juntos","media","media","otro","servicios","distancia","otro","<15","2-5",0,"no","si","no","si","si","si","si","no","muy_buena","suficiente","mucho","poco","poco","excelente",16,"R"
"GP","M",18,"urbana","<=3","juntos","basica","basica","servicios","servicios","reputacion","madre","<15","2-5",0,"no","si","no","si","no","no","si","no","muy_buena","bastante","bastante","nada","poco","buena",11,"R"
"MS","F",16,"rural",">3","juntos","basica","basica","ninguno","otro","curriculo","madre","15-30","2-5",1,"no","si","no","si","no","si","no","no","muy_buena","bastante","bastante","muy_poco","poco","excelente",2,"A"
"MS","M",16,"urbana","<=3","juntos","superior","superior","docencia","salud","otro","padre","<15","<2",0,"no","si","no","no","si","si","si","no","muy_buena","muy_poco","poco","muy_poco","mucho","excelente",0,"R"
"MS","M",17,"urbana","<=3","separados","primaria","ninguna","otro","otro","distancia","madre","<15","<2",0,"no","no","no","no","si","si","no","si","muy_buena","muy_poco","poco","nada","nada","excelente",4,"R"
"MS","F",18,"urbana",">3","juntos","primaria","basica","ninguno","ninguno","curriculo","padre","15-30","2-5",0,"no","si","no","no","si","no","no","no","muy_buena","muy_poco","muy_poco","nada","nada","muy_buena",0,"R"
"MS","F",17,"urbana",">3","juntos","basica","basica","otro","ninguno","distancia","madre","<15","5-10",0,"no","no","no","si","si","si","no","si","buena","bastante","suficiente","nada","nada","buena",8,"R"
"GP","F",15,"urbana",">3","juntos","basica","primaria","servicios","otro","reputacion","padre","31-60","5-10",0,"no","si","no","si","si","si","si","no","excelente","poco","poco","nada","nada","muy_buena",4,"R"
"GP","M",15,"urbana",">3","juntos","basica","media","otro","servicios","curriculo","padre","<15","<2",0,"si","si","si","si","no","si","si","si","buena","poco","poco","nada","poco","buena",2,"R"
"GP","F",17,"urbana","<=3","juntos","basica","basica","otro","otro","curriculo","padre","<15","<2",0,"no","si","no","no","si","si","si","si","buena","bastante","bastante","nada","poco","excelente",12,"R"
"GP","M",16,"urbana","<=3","juntos","primaria","primaria","servicios","otro","curriculo","madre","<15","2-5",1,"no","no","no","no","si","si","no","si","muy_buena","bastante","bastante","nada","poco","excelente",0,"A"
"GP","M",16,"urbana",">3","juntos","media","media","servicios","otro","distancia","madre","<15","2-5",0,"no","no","si","si","si","si","si","si","muy_buena","poco","suficiente","nada","muy_poco","buena",2,"A"
"GP","F",16,"urbana",">3","juntos","media","basica","otro","otro","reputacion","madre","<15","2-5",0,"no","si","si","no","si","si","si","no","muy_mala","poco","poco","nada","muy_poco","muy_mala",14,"A"
"GP","M",17,"urbana","<=3","juntos","basica","media","servicios","servicios","reputacion","padre","<15","2-5",0,"no","si","si","no","no","si","si","no","excelente","suficiente","suficiente","nada","poco","buena",2,"A"
"GP","M",17,"rural","<=3","separados","superior","superior","docencia","otro","curriculo","madre","15-30","2-5",0,"no","si","si","no","si","si","si","no","buena","suficiente","suficiente","muy_poco","poco","muy_buena",2,"R"
"GP","M",16,"urbana",">3","juntos","superior","superior","servicios","servicios","curriculo","madre","<15","<2",0,"no","no","no","si","si","si","si","no","excelente","suficiente","poco","nada","muy_poco","excelente",0,"A"
"MS","M",18,"rural","<=3","juntos","primaria","primaria","ninguno","otro","otro","madre","15-30","2-5",1,"no","no","no","si","no","no","no","no","muy_buena","bastante","suficiente","muy_poco","poco","excelente",2,"A"
"MS","F",17,"rural",">3","juntos","primaria","basica","otro","servicios","curriculo","padre","15-30","2-5",0,"no","no","no","no","no","si","no","no","buena","poco","poco","nada","muy_poco","buena",0,"A"
"GP","F",17,"urbana",">3","separados","superior","superior","otro","docencia","distancia","madre","15-30","2-5",0,"si","si","no","no","si","si","no","no","muy_buena","muy_poco","bastante","nada","nada","muy_mala",2,"R"
"GP","M",15,"urbana",">3","juntos","superior","media","docencia","otro","curriculo","madre","15-30","2-5",0,"no","si","no","no","si","si","si","no","excelente","bastante","suficiente","nada","muy_poco","buena",0,"A"
"GP","M",16,"rural",">3","separados","superior","superior","otro","docencia","reputacion","madre","15-30","5-10",0,"no","si","no","si","si","si","si","si","mala","bastante","suficiente","nada","nada","excelente",4,"A"
"GP","F",16,"urbana","<=3","juntos","basica","basica","servicios","servicios","curriculo","madre","31-60","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","suficiente","suficiente","muy_poco","poco","muy_buena",0,"A"
"GP","F",16,"urbana",">3","juntos","superior","media","docencia","salud","distancia","madre","<15","5-10",0,"si","si","no","si","si","si","si","no","buena","bastante","bastante","muy_poco","bastante","muy_buena",0,"A"
"GP","F",15,"urbana",">3","juntos","superior","media","servicios","otro","reputacion","madre","<15","<2",0,"no","no","no","si","si","si","si","no","muy_buena","mucho","mucho","nada","poco","muy_mala",6,"A"
"GP","F",16,"urbana",">3","juntos","superior","superior","otro","otro","reputacion","madre","<15","<2",0,"no","no","no","si","no","si","si","no","excelente","suficiente","bastante","nada","muy_poco","muy_mala",4,"A"
"GP","F",16,"urbana","<=3","juntos","basica","superior","otro","salud","curriculo","padre","15-30","2-5",0,"no","si","no","si","si","si","si","si","muy_buena","poco","poco","nada","muy_poco","excelente",2,"A"
"GP","F",16,"rural",">3","juntos","primaria","primaria","ninguno","otro","curriculo","madre",">60","2-5",0,"no","si","no","no","si","si","no","no","excelente","muy_poco","suficiente","nada","nada","buena",0,"A"
"GP","M",16,"urbana",">3","juntos","superior","superior","servicios","servicios","curriculo","madre","<15","5-10",0,"no","si","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","poco","excelente",0,"A"
"GP","F",17,"urbana",">3","juntos","superior","superior","otro","docencia","curriculo","madre","<15","<2",0,"si","si","no","no","si","si","no","si","muy_buena","poco","muy_poco","nada","nada","muy_buena",0,"A"
"GP","M",16,"urbana",">3","juntos","media","media","servicios","otro","distancia","madre","<15","2-5",0,"no","no","no","si","si","si","si","si","muy_buena","poco","suficiente","nada","muy_poco","buena",0,"R"
"GP","F",17,"rural",">3","juntos","basica","primaria","ninguno","servicios","curriculo","madre","31-60","2-5",0,"no","no","no","si","si","si","no","no","mala","muy_poco","muy_poco","nada","nada","buena",2,"A"
"GP","F",18,"rural",">3","juntos","basica","basica","otro","otro","distancia","madre","<15","2-5",0,"si","no","no","no","si","si","no","no","buena","poco","suficiente","nada","nada","excelente",4,"R"
"GP","F",18,"urbana","<=3","juntos","primaria","primaria","otro","otro","distancia","madre","15-30","2-5",0,"no","si","no","no","no","si","no","no","muy_buena","bastante","suficiente","nada","nada","buena",2,"A"
"GP","F",18,"urbana",">3","juntos","primaria","primaria","otro","otro","distancia","madre","15-30","2-5",0,"si","no","no","si","si","si","si","no","excelente","bastante","bastante","nada","nada","muy_buena",0,"A"
"GP","F",18,"urbana",">3","juntos","superior","superior","docencia","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","muy_buena","bastante","bastante","poco","poco","excelente",0,"A"
"GP","F",17,"urbana","<=3","separados","media","media","servicios","otro","distancia","madre","<15","2-5",0,"si","si","no","no","si","si","si","no","excelente","suficiente","suficiente","nada","nada","excelente",0,"A"
"GP","F",17,"urbana",">3","juntos","basica","basica","otro","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","si","si","no","si","muy_buena","poco","poco","nada","nada","buena",4,"A"
"GP","F",17,"urbana",">3","juntos","media","primaria","otro","ninguno","distancia","madre","<15","<2",1,"no","si","si","no","si","si","si","si","muy_buena","muy_poco","poco","nada","nada","buena",6,"R"
"MS","M",16,"urbana","<=3","juntos","superior","media","otro","otro","curriculo","padre","<15","<2",0,"no","no","no","si","si","si","si","no","muy_buena","poco","mucho","nada","mucho","excelente",8,"A"
"MS","M",18,"rural",">3","juntos","primaria","ninguna","ninguno","ninguno","curriculo","otro","31-60","<2",1,"si","si","no","no","si","si","no","no","muy_buena","suficiente","poco","nada","nada","muy_buena",0,"A"
"GP","F",16,"urbana","<=3","juntos","basica","basica","servicios","servicios","curriculo","madre","31-60","2-5",0,"no","si","si","no","si","si","si","no","muy_buena","suficiente","suficiente","muy_poco","poco","muy_buena",2,"A"
"GP","M",15,"rural",">3","juntos","superior","superior","otro","otro","distancia","padre",">60",">10",0,"no","si","si","si","si","si","si","si","muy_mala","suficiente","mucho","poco","mucho","muy_mala",6,"R"
"GP","M",16,"urbana",">3","juntos","media","media","otro","servicios","distancia","padre","15-30","<2",0,"no","no","no","si","si","si","si","no","excelente","bastante","poco","nada","nada","excelente",0,"A"
"GP","M",17,"rural","<=3","juntos","primaria","basica","otro","otro","reputacion","madre","<15","<2",0,"no","no","no","no","si","si","no","no","mala","poco","poco","poco","poco","excelente",8,"A"
"GP","M",17,"urbana","<=3","juntos","superior","superior","servicios","otro","distancia","madre","<15","2-5",0,"no","si","si","no","si","si","si","si","excelente","suficiente","mucho","bastante","mucho","buena",13,"A"
"GP","M",18,"urbana",">3","juntos","basica","basica","otro","otro","distancia","madre","15-30","2-5",0,"no","si","si","no","si","si","si","no","buena","suficiente","suficiente","mucho","mucho","muy_buena",0,"A"
"GP","M",17,"urbana","<=3","juntos","basica","basica","otro","otro","distancia","padre","<15","2-5",0,"no","no","si","si","no","si","si","si","muy_buena","bastante","poco","mucho","mucho","muy_buena",4,"A"
"GP","F",19,"urbana",">3","juntos","basica","primaria","ninguno","otro","otro","otro","31-60","2-5",0,"no","si","no","no","si","no","si","si","buena","bastante","muy_poco","nada","nada","mala",20,"A"
"GP","F",17,"urbana",">3","separados","superior","media","servicios","servicios","curriculo","madre","<15","2-5",0,"no","si","si","no","si","si","si","si","excelente","poco","poco","nada","muy_poco","excelente",23,"A"
"MS","M",18,"urbana","<=3","juntos","superior","superior","docencia","servicios","otro","madre","15-30","5-10",0,"no","no","si","no","si","si","si","si","muy_buena","poco","poco","muy_poco","muy_poco","excelente",0,"A"
"GP","F",15,"urbana",">3","juntos","superior","basica","salud","servicios","distancia","madre","<15","5-10",0,"no","si","no","si","si","si","si","si","buena","poco","poco","nada","nada","excelente",0,"A"
"GP","F",15,"urbana",">3","juntos","superior","superior","docencia","salud","reputacion","madre","<15","2-5",0,"no","si","no","no","si","si","si","no","buena","suficiente","suficiente","nada","muy_poco","mala",2,"A"
"GP","F",16,"urbana",">3","juntos","superior","superior","servicios","servicios","reputacion","madre","<15","5-10",0,"no","si","no","si","si","si","si","no","buena","poco","suficiente","nada","muy_poco","mala",10,"A"
"GP","M",15,"urbana",">3","juntos","superior","media","docencia","otro","reputacion","madre","<15","2-5",0,"no","no","no","no","si","si","si","no","muy_buena","bastante","muy_poco","nada","nada","muy_mala",0,"A"
"GP","M",16,"urbana","<=3","juntos","superior","basica","docencia","otro","curriculo","madre","<15","2-5",0,"no","no","no","si","si","si","si","no","muy_buena","mucho","muy_poco","nada","poco","excelente",0,"A"
"GP","M",16,"urbana",">3","juntos","media","primaria","otro","otro","reputacion","madre","<15","<2",0,"no","no","no","si","si","si","no","no","excelente","suficiente","poco","muy_poco","muy_poco","excelente",0,"A"
"GP","M",16,"urbana",">3","juntos","media","media","servicios","otro","distancia","padre","<15","5-10",0,"no","si","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","nada","excelente",4,"A"
"GP","M",16,"urbana",">3","juntos","superior","superior","docencia","docencia","curriculo","padre","<15","2-5",0,"no","si","no","si","si","si","si","no","excelente","bastante","bastante","nada","muy_poco","excelente",6,"A"
"GP","F",16,"urbana",">3","separados","media","superior","servicios","otro","curriculo","padre","<15","<2",0,"no","no","no","no","si","si","si","no","buena","poco","muy_poco","nada","bastante","excelente",12,"A"
"GP","F",16,"urbana",">3","juntos","basica","basica","servicios","otro","reputacion","madre","15-30","2-5",0,"no","no","no","si","no","si","si","no","buena","bastante","bastante","nada","bastante","excelente",0,"A"
"GP","M",17,"urbana",">3","juntos","media","media","servicios","servicios","otro","madre","<15","2-5",0,"no","si","no","si","si","si","si","si","muy_buena","suficiente","bastante","muy_poco","poco","muy_buena",6,"R"
"GP","F",17,"urbana",">3","separados","media","media","salud","otro","reputacion","madre","<15","2-5",0,"no","si","no","no","no","si","si","si","buena","suficiente","suficiente","nada","poco","buena",10,"A"
"GP","M",17,"urbana",">3","juntos","superior","superior","servicios","docencia","distancia","madre","<15","<2",0,"no","no","no","no","si","si","si","no","excelente","poco","suficiente","nada","muy_poco","excelente",4,"A"
"GP","M",16,"urbana",">3","juntos","superior","superior","salud","otro","reputacion","padre","<15","2-5",0,"no","si","no","si","si","si","si","no","muy_buena","poco","bastante","muy_poco","bastante","muy_mala",0,"A"
"GP","M",17,"urbana",">3","juntos","media","primaria","servicios","otro","otro","madre","<15","2-5",0,"no","no","no","si","si","si","si","si","excelente","bastante","bastante","poco","bastante","excelente",0,"R"
"GP","F",17,"urbana",">3","juntos","basica","basica","otro","otro","curriculo","madre","<15","2-5",0,"no","si","no","no","no","si","si","no","excelente","bastante","mucho","nada","muy_poco","excelente",12,"A"
"GP","F",17,"urbana",">3","juntos","primaria","primaria","servicios","docencia","reputacion","madre","<15","5-10",0,"no","si","no","no","si","si","si","no","muy_buena","suficiente","suficiente","nada","nada","buena",0,"A"
"GP","F",17,"urbana","<=3","juntos","basica","primaria","otro","otro","distancia","padre","<15","2-5",0,"no","no","no","si","si","si","si","no","muy_buena","poco","suficiente","muy_poco","muy_poco","mala",2,"R"
"GP","F",18,"urbana",">3","juntos","primaria","primaria","otro","otro","distancia","madre","15-30","5-10",0,"no","no","no","si","si","si","si","no","muy_buena","mucho","mucho","nada","muy_poco","mala",0,"A"
"GP","F",17,"urbana",">3","juntos","media","superior","servicios","otro","curriculo","madre","<15","5-10",0,"no","no","no","no","si","si","si","no","muy_buena","bastante","mucho","nada","poco","excelente",8,"R"
"MS","F",16,"urbana",">3","juntos","basica","primaria","otro","servicios","curriculo","madre","<15","2-5",0,"no","si","no","si","si","si","si","no","excelente","suficiente","suficiente","nada","nada","muy_mala",0,"A"
"MS","F",18,"urbana",">3","juntos","basica","basica","servicios","ninguno","reputacion","padre","15-30","2-5",0,"no","no","no","si","no","si","si","no","muy_buena","suficiente","mucho","nada","nada","muy_mala",2,"A"
"MS","M",18,"rural",">3","juntos","superior","superior","ninguno","servicios","otro","madre","31-60","<2",0,"no","si","si","si","si","si","si","si","mala","mucho","mucho","nada","nada","muy_mala",5,"A"
"MS","F",18,"rural","<=3","juntos","superior","superior","docencia","servicios","curriculo","madre","<15","2-5",0,"no","no","no","si","si","si","si","no","excelente","bastante","suficiente","poco","bastante","mala",1,"A"
"GP","M",15,"urbana","<=3","juntos","superior","superior","salud","servicios","curriculo","padre","<15","<2",0,"no","si","si","si","si","si","si","no","muy_buena","suficiente","suficiente","nada","poco","excelente",2,"A"
"GP","F",16,"urbana",">3","juntos","superior","superior","otro","otro","reputacion","madre","<15","<2",0,"no","no","no","si","no","si","si","no","excelente","suficiente","bastante","nada","muy_poco","muy_mala",6,"R"
"GP","M",16,"urbana",">3","juntos","basica","media","otro","otro","distancia","padre","15-30","<2",0,"no","no","no","no","si","si","si","no","excelente","suficiente","suficiente","nada","nada","buena",0,"A"
"GP","F",16,"urbana",">3","separados","basica","basica","otro","otro","reputacion","madre","<15","2-5",0,"si","si","si","no","si","si","si","no","buena","suficiente","bastante","nada","nada","muy_buena",0,"A"
"GP","M",18,"urbana",">3","juntos","basica","primaria","otro","otro","distancia","madre","<15","2-5",0,"no","no","no","si","si","si","si","no","excelente","poco","bastante","nada","muy_poco","muy_buena",8,"A"
"GP","M",18,"urbana",">3","juntos","basica","primaria","servicios","servicios","reputacion","madre","<15","5-10",0,"no","no","si","si","si","si","si","no","muy_buena","poco","bastante","nada","poco","mala",6,"A"
"GP","M",18,"rural","<=3","juntos","media","basica","servicios","otro","reputacion","madre","15-30","5-10",0,"no","si","si","si","si","si","si","no","excelente","bastante","poco","nada","nada","muy_buena",8,"A"
"GP","F",17,"urbana",">3","juntos","superior","superior","docencia","docencia","curriculo","madre","15-30","5-10",0,"no","si","si","no","no","si","si","si","muy_buena","suficiente","suficiente","nada","muy_poco","muy_buena",4,"A"
"GP","F",18,"urbana",">3","juntos","media","basica","otro","servicios","otro","madre","<15","5-10",0,"no","no","no","no","si","si","si","si","excelente","bastante","suficiente","muy_poco","poco","muy_mala",7,"A"
"GP","M",15,"urbana",">3","separados","basica","basica","otro","otro","distancia","otro","<15","5-10",0,"no","si","no","no","si","si","si","si","muy_buena","mucho","poco","nada","nada","buena",0,"A"
"GP","M",15,"rural",">3","juntos","superior","media","docencia","ninguno","curriculo","madre","<15","2-5",0,"no","si","no","si","si","si","si","si","muy_buena","mucho","poco","nada","nada","excelente",0,"A"
